merchant,vertical,tier,seasonality,peak_months,engagement_month_label,engagement_month_sort,engagement_date,engagement_type,priority,owner,fy26_fc_gmv,status,next_action,leadership_flag,playbook
Cozey,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Alex Utting,,Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
EQ3,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$974,442",Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
GE Applicances,Appliances,Tier 1,"spring_home, holiday","Apr, May, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$483,558",Planned,Confirm promo economics and homepage placement,Yes,Spring reno / holiday appliance promo planning
JYSK,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$445,946",Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
Jump+,Electronics & Wireless,Tier 1,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$6.47M,Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
LG Canada,Appliances,Tier 1,"spring_home, holiday","Apr, May, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$6.75M,Planned,Confirm promo economics and homepage placement,Yes,Spring reno / holiday appliance promo planning
MUST,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$6,415",Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
Maison Corbeil,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$10,281",Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
MedSpa Partners,Aesthetics / Medical,Tier 1,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$781,843",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Nissan Stores,Auto,Tier 1,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,High,Lynda Khouildi,"$350,648",Planned,Lock creative and launch checklist,No,Spring upgrade / winter prep parts and service financing
Skin Vitality,Aesthetics / Medical,Tier 1,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,$2.10M,Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Urban Barn,Furniture & Home,Tier 1,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,$1.89M,Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
1010 Tires,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$681,828",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
10191856 Manitoba Inc.,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$10,403",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
14705301 Canada Inc.,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$517.81,Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
3D Printing Canada,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$421,269",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Account,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,CSM,FY26 FC GMV,Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Action Car and Truck Accessories,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$154,601",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Al Madina Jewellers Inc,Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$324,284",Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Apollo MVMT,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$345,302",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Ashley Home Store,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$430,215",Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
Bells of Steel,Fitness & Mobility,Tier 2,"new_year, holiday","Jan, Feb, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$389,879",Planned,Confirm promo economics and homepage placement,Yes,New Year / spring / holiday equipment financing
Bowers & Wilkins,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$116,437",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
Browns Shoes,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$939,763",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday merchandising and offer coordination
Camera Canada,Photography & Services,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,$1.99M,Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and creator equipment spikes
Canada Wheels,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,$1.01M,Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Canadian Jewellers Association (CJA),Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,$3.61M,Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Canadian Outlet,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$1.11M,Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Canadian Photography School,Photography & Services,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$590,936",Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and creator equipment spikes
Canadian Tire (Pending),Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Alex Utting,,Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Carte Blanche,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$12,943",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Cellcom Communication,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$199,410",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Cellcom Communications,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$4.30M,Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
Charm Diamonds,Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$120,916",Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Clinique Opto de la Haute-Gatineau Inc (2),Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$5,763",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Clinique Visuelle O.C.M. Inc. (131),Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$16,719",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Clinique d'ophtalmologie COI Laval Inc. (410),Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$84,240",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Contacts Express,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$2,610",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Definitive Technology,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,$868.29,Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
Denon,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$67,666",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
Dirty Diesel Customs,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$513,649",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Dufresne,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$124,984",Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
Emma Sleep,Sleep,Tier 2,"spring_home, labour_day, holiday","Apr, May, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$238,151",Planned,Confirm promo economics and homepage placement,Yes,Spring / Labour Day / holiday mattress and bedding push
Excellent Photo,Photography & Services,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,$2.28M,Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and creator equipment spikes
FYi Eye Care,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$117,430",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Factory Optical,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,$186.56,Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Fillion Electronique,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$1.71M,Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Fizz,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$27.40M,Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
Footlocker,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Alex Utting,,Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday merchandising and offer coordination
G2MC,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$555,566",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
GhostBed,Sleep,Tier 2,"spring_home, labour_day, holiday","Apr, May, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$245,853",Planned,Confirm promo economics and homepage placement,Yes,Spring / Labour Day / holiday mattress and bedding push
Giant Tiger,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$89,132",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday merchandising and offer coordination
Greiche & Scaff,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$67,348",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Grizzly Trucks,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,$1.27M,Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Groupe Tecnic Canada Inc - Magasin,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$18,065",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Groupe Tecnic Canada Inc - Télévente,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$96,658",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Hart,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$108.48,Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday merchandising and offer coordination
Hetta Furniture,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$1,233",Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
INDOCHINO 855-334-0788,Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$8,982",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday merchandising and offer coordination
INFINILOOK - New Look Canada,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$74,029",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
IRIS Ste-Julie (48),Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$10,905",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
International Institute of Aesthetic Medicine USA,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$209,747",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Iris Eyewar,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$397,923",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Kits Eyecare,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$6,687",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Lee Valley Tools Limited,Home Improvement,Tier 2,"spring_home, holiday","Apr, May, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$539,962",Planned,Confirm promo economics and homepage placement,Yes,Spring reno / summer outdoor / holiday tools
Lugaro Jewellers,Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$376,353",Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Luxedujour,Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$675,729",Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Marantz,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$13,641",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
Matt and Nat,Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$4,116",Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Matt and Nat (French),Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,$140.31,Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Meital Studios,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,"$975,606",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Mi4Canada.COM,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$1.32M,Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Mobile Klinik,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$2.06M,Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
Mr. Lube,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$467,107",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Music Red One,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$727,718",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
New Look Canada,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,$2.15M,Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Northern Fitness,Fitness & Mobility,Tier 2,"new_year, holiday","Jan, Feb, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,$1.31M,Planned,Confirm promo economics and homepage placement,Yes,New Year / spring / holiday equipment financing
Novosbed,Sleep,Tier 2,"spring_home, labour_day, holiday","Apr, May, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$215,425",Planned,Confirm promo economics and homepage placement,Yes,Spring / Labour Day / holiday mattress and bedding push
Nuovo Photography,Photography & Services,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Cathryn Felton,$9.66M,Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and creator equipment spikes
Oasis,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$179,057",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Oasis Aesthetics Spa - Winnipeg,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$200,301",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Oliver Jewellery,Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,$1.46M,Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Optique Beauport Inc. (308),Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$5,015",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
PDA Plaza,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$410,395",Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
PMC Tire,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,$1.14M,Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Park Auto Motorsports,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$436,488",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Parts Avatar,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$434,154",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Parts Engine,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Aug 2026,2026-08,2026-08-01,T-8 to T-4 launch prep,Medium,Lynda Khouildi,"$935,339",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Polk Audio,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$53,260",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
Polysleep,Sleep,Tier 2,"spring_home, labour_day, holiday","Apr, May, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$302,544",Planned,Confirm promo economics and homepage placement,Yes,Spring / Labour Day / holiday mattress and bedding push
Quoted Tech Gaming PC's,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$1.85M,Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
REEBELO.CA,Other,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,$1.31M,Planned,Confirm promo economics and homepage placement,Yes,General seasonal planning cadence
Rad Power Bikes,Fitness & Mobility,Tier 2,"new_year, spring_home, holiday","Jan, Feb, Apr, May, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$48,162",Planned,Confirm promo economics and homepage placement,Yes,New Year / spring / holiday equipment financing
Raffi Jewellers (Yorkdale) Inc,Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$132,326",Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Raffi Jewellers Toronto,Jewelry,Tier 2,holiday,"Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$136,091",Planned,Confirm promo economics and homepage placement,Yes,Holiday gifting and event-driven conversion
Removery - Kitsilano,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$242,743",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
Ren's Pet Depot (SFCC),Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$77,881",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday merchandising and offer coordination
Ren's Pet Depot (VCN),Retail / Multi,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$6,035",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday merchandising and offer coordination
Rove Concepts,Furniture & Home,Tier 2,"spring_home, bts, holiday","Apr, May, Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$452,622",Planned,Confirm promo economics and homepage placement,Yes,Spring refresh / move season / holiday big-ticket financing
Rwireless,Electronics & Wireless,Tier 2,"bts, holiday","Aug, Sep, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Saagar Chugh,"$1,459",Planned,Confirm promo economics and homepage placement,Yes,BTS / holiday device and accessory financing
Shino Bay Cosmetic Dermatology - In-Store,Aesthetics / Medical,Tier 2,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Aug 2026,2026-08,2026-08-01,T-12 to T-8 planning,Critical,Lynda Khouildi,"$8,092",Planned,Confirm promo economics and homepage placement,Yes,New Year / pre-summer treatment package financing
